"tailnum","year","type","manufacturer","model","engines","seats","speed","engine"
"N272WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N273JB",2007,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N273NN",2019,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N273WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N274JB",2007,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N274NN",2019,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N274WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N275AK",2017,"Fixed wing multi engine","BOEING","737-900ER",2,222,0,"Turbo-fan"
"N275NN",2019,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N275WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N276NN",2019,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N276WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N27724",1999,"Fixed wing multi engine","BOEING","737-724",2,149,0,"Turbo-fan"
"N27733",1999,"Fixed wing multi engine","BOEING","737-724",2,149,0,"Turbo-fan"
"N27734",1999,"Fixed wing multi engine","BOEING","737-724",2,149,0,"Turbo-fan"
"N277WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N278NN",2019,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N278WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N279JB",2007,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N279MQ",2019,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N279PQ",2013,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N279WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N280NN",2019,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N280WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N281AK",2017,"Fixed wing multi engine","BOEING","737-900ER",2,222,0,"Turbo-fan"
"N281JB",2007,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N281NN",2019,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N281WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N282AK",2017,"Fixed wing multi engine","BOEING","737-900ER",2,222,0,"Turbo-fan"
"N282NN",2019,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N282WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N283JB",2007,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N283NN",2019,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N284AK",2017,"Fixed wing multi engine","BOEING","737-900ER",2,222,0,"Turbo-fan"
"N284JB",2008,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
